model,variant,crossover,mutation,selection,coverage_lambda,parsimony_mu,pop_size,cx_prob,max_budget,converged_at,n_paths,total_conditions,train_precision,train_recall,train_f1,train_alert_rate,val_precision,val_recall,val_f1,val_alert_rate,test_precision,test_recall,test_f1,test_alert_rate,best_rule_str
Coevolution GA,lam0.2_mu0.02,,,,0.2,0.02,,,80.0,17.0,2.0,7.0,0.7432835820895523,0.48585365853658535,0.5876106194690266,0.0031904761904761906,0.8625,0.5587044534412956,0.6781326781326781,0.0035555555555555557,0.6903225806451613,0.4692982456140351,0.5587467362924282,0.0034444444444444444,"  Rule 1: Session_Duration <= 93.8000  AND  Failed_Login_Count >= 1.0000  AND  Transaction_Hour < 6.0000  AND  Transactions_Last_7d >= 14.0000
  Rule 2: Geo_Location_Risk > 32.6000  AND  Days_Since_Last_Address_Change <= 48.0000  AND  Time_Since_Last_Transaction <= 4.2490"
Coevolution GA,lam0.2_mu0.05,,,,0.2,0.05,,,80.0,43.0,3.0,12.0,0.7531645569620253,0.5804878048780487,0.6556473829201102,0.003761904761904762,0.8629441624365483,0.6882591093117408,0.7657657657657657,0.004377777777777778,0.8121212121212121,0.5877192982456141,0.6819338422391857,0.0036666666666666666,"  Rule 1: Transaction_Hour <= 9.0000  AND  IP_Risk_Score > 28.1000  AND  Transactions_Last_24h >= 4.0000  AND  Geo_Location_Risk > 17.3000  AND  Failed_Login_Count > 0.0000  AND  Time_Since_Last_Transaction < 19.2500
  Rule 2: Email_Domain_Age_Days < 144.0000  AND  Days_Since_Last_Address_Change <= 48.0000  AND  Credit_Limit_Utilization >= 0.4810
  Rule 3: Account_Age_Days < 191.0000  AND  Transactions_Last_7d >= 19.0000  AND  Session_Duration <= 93.8000"
Coevolution GA,lam0.2_mu0.1,,,,0.2,0.1,,,80.0,17.0,2.0,7.0,0.7040971168437026,0.4526829268292683,0.5510688836104513,0.003138095238095238,0.7771739130434783,0.5789473684210527,0.6635730858468677,0.004088888888888889,0.7450980392156863,0.5,0.5984251968503937,0.0034,"  Rule 1: Days_Since_Last_Address_Change <= 48.0000  AND  Transaction_Hour <= 10.0000  AND  Email_Domain_Age_Days < 144.0000
  Rule 2: IP_Risk_Score > 37.4000  AND  Device_Risk_Score_bin >= 6  AND  Geo_Location_Risk > 32.6000  AND  Transactions_Last_24h >= 4.0000"
Coevolution GA,lam0.2_mu0.2,,,,0.2,0.2,,,80.0,12.0,2.0,6.0,0.6624525916561315,0.511219512195122,0.5770925110132159,0.003766666666666667,0.7743589743589744,0.611336032388664,0.6832579185520362,0.004333333333333333,0.6557377049180327,0.5263157894736842,0.583941605839416,0.004066666666666666,"  Rule 1: Email_Domain_Age_Days <= 144.0000  AND  Days_Since_Last_Address_Change <= 48.0000  AND  Transaction_Hour <= 10.0000
  Rule 2: Transactions_Last_7d > 19.0000  AND  Session_Duration <= 150.6000  AND  Transactions_Last_24h >= 6.0000"
NSGA-II,pop52_cx0.3,,,,,,52.0,0.3,80.0,80.0,7.0,41.0,0.504828797190518,0.5609756097560976,0.5314232902033271,0.0054238095238095235,0.5173745173745173,0.5425101214574899,0.5296442687747036,0.005755555555555555,0.49193548387096775,0.5350877192982456,0.5126050420168067,0.005511111111111111,"  Rule 1: Session_Duration >= 167.0000  AND  IP_Risk_Score > 37.4000  AND  Transactions_Last_24h > 6.0000  AND  Device_Risk_Score_bin < 5  AND  Credit_Limit_Utilization > 0.4460  AND  Account_Age_Days < 1249.0000  AND  Transactions_Last_7d >= 13.0000
  Rule 2: Failed_Login_Count < 0.0000  AND  Device_Risk_Score_bin > 3  AND  Credit_Limit_Utilization >= 0.1860  AND  Transactions_Last_24h >= 3.0000  AND  Account_Age_Days > 967.0000  AND  Email_Domain_Age_Days <= 1834.0000  AND  Time_Since_Last_Transaction >= 19.2500
  Rule 3: Transactions_Last_24h > 4.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 1.0000  AND  Time_Since_Last_Transaction < 29.9600  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin >= 6  AND  Account_Age_Days <= 1249.0000
  Rule 4: Session_Duration >= 167.0000  AND  IP_Risk_Score > 37.4000  AND  Transactions_Last_24h > 6.0000  AND  Device_Risk_Score_bin < 5  AND  Credit_Limit_Utilization > 0.4460  AND  Account_Age_Days < 1249.0000  AND  Transactions_Last_7d >= 13.0000
  Rule 5: Email_Domain_Age_Days <= 144.0000  AND  Transactions_Last_7d > 19.0000
  Rule 6: Email_Domain_Age_Days <= 144.0000  AND  Transactions_Last_7d > 19.0000
  Rule 7: Session_Duration <= 150.6000  AND  Credit_Limit_Utilization > 0.2140  AND  Transactions_Last_24h > 4.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 1.0000  AND  Time_Since_Last_Transaction <= 29.9600  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin <= 6  AND  Account_Age_Days <= 1249.0000"
NSGA-II,pop52_cx0.4,,,,,,52.0,0.4,80.0,80.0,7.0,56.0,0.6608695652173913,0.5190243902439025,0.5814207650273224,0.003833333333333333,0.7540106951871658,0.5708502024291497,0.6497695852534562,0.0041555555555555556,0.7328767123287672,0.4692982456140351,0.5721925133689839,0.0032444444444444443,"  Rule 1: Transaction_Hour <= 8.0000  AND  Credit_Limit_Utilization > 0.2140  AND  Email_Domain_Age_Days < 1590.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 1.0000  AND  Time_Since_Last_Transaction <= 29.9600  AND  Days_Since_Last_Address_Change < 416.0000  AND  Account_Age_Days <= 1249.0000
  Rule 2: IP_Risk_Score > 14.1000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 14.0000  AND  Geo_Location_Risk >= 17.3000  AND  Failed_Login_Count > 0.0000
  Rule 3: Failed_Login_Count > 0.0000  AND  Geo_Location_Risk > 12.9000  AND  Days_Since_Last_Address_Change > 484.0000  AND  Transactions_Last_24h >= 4.0000  AND  Credit_Limit_Utilization <= 0.1860  AND  IP_Risk_Score < 11.4000  AND  Transactions_Last_7d >= 15.0000  AND  Email_Domain_Age_Days <= 1943.0000  AND  Account_Age_Days >= 1157.0000  AND  Device_Risk_Score_bin <= 0
  Rule 4: Session_Duration <= 93.8000  AND  Credit_Limit_Utilization > 0.2140  AND  Transactions_Last_24h > 4.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 1.0000  AND  Time_Since_Last_Transaction < 17.9100  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin <= 6  AND  Account_Age_Days <= 1249.0000
  Rule 5: Session_Duration <= 150.6000  AND  Credit_Limit_Utilization > 0.2140  AND  Email_Domain_Age_Days < 1590.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 0.0000  AND  Time_Since_Last_Transaction <= 29.9600  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin > 6  AND  Account_Age_Days <= 1249.0000  AND  Transaction_Hour <= 6.0000
  Rule 6: Session_Duration <= 216.8000  AND  Transactions_Last_7d > 8.0000  AND  Failed_Login_Count > 2.0000  AND  Days_Since_Last_Address_Change <= 432.0000  AND  Transaction_Hour <= 16.0000  AND  Credit_Limit_Utilization > 0.3610  AND  Transactions_Last_24h > 3.0000
  Rule 7: IP_Risk_Score >= 37.4000  AND  Account_Age_Days <= 1301.0000  AND  Days_Since_Last_Address_Change < 484.0000  AND  Geo_Location_Risk > 32.6000  AND  Transactions_Last_7d >= 11.0000  AND  Transactions_Last_24h >= 3.0000  AND  Failed_Login_Count <= 1.0000"
NSGA-II,pop52_cx0.5,,,,,,52.0,0.5,80.0,80.0,6.0,41.0,0.5211267605633803,0.4692682926829268,0.4938398357289528,0.004395238095238095,0.5902439024390244,0.4898785425101215,0.5353982300884956,0.004555555555555556,0.5317073170731708,0.4780701754385965,0.5034642032332564,0.004555555555555556,"  Rule 1: IP_Risk_Score > 12.7000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 9.0000  AND  Geo_Location_Risk >= 14.3000  AND  Failed_Login_Count > 0.0000  AND  Device_Risk_Score_bin > 0  AND  Days_Since_Last_Address_Change < 501.0000
  Rule 2: Session_Duration <= 150.6000  AND  Credit_Limit_Utilization > 0.2140  AND  Transactions_Last_24h > 4.0000  AND  Transactions_Last_7d > 10.0000  AND  Failed_Login_Count >= 1.0000  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin <= 6  AND  Account_Age_Days <= 1249.0000
  Rule 3: Session_Duration <= 216.8000  AND  IP_Risk_Score > 0.0000  AND  Failed_Login_Count > 2.0000  AND  Email_Domain_Age_Days < 2128.0000  AND  Days_Since_Last_Address_Change <= 432.0000  AND  Transaction_Hour <= 16.0000  AND  Credit_Limit_Utilization > 0.3610
  Rule 4: Session_Duration <= 216.8000  AND  IP_Risk_Score > 0.0000  AND  Failed_Login_Count > 2.0000  AND  Email_Domain_Age_Days < 2128.0000  AND  Transaction_Hour <= 3.0000  AND  Credit_Limit_Utilization > 0.3610
  Rule 5: Session_Duration <= 216.8000  AND  Days_Since_Last_Address_Change <= 416.0000  AND  Email_Domain_Age_Days <= 1783.0000  AND  Transactions_Last_7d > 14.0000  AND  Transaction_Hour <= 16.0000  AND  Transactions_Last_24h >= 6.0000
  Rule 6: Session_Duration <= 216.8000  AND  IP_Risk_Score > 0.0000  AND  Failed_Login_Count > 1.0000  AND  Email_Domain_Age_Days < 2128.0000  AND  Days_Since_Last_Address_Change <= 432.0000  AND  Transaction_Hour <= 16.0000  AND  Credit_Limit_Utilization > 0.3610"
NSGA-II,pop52_cx0.6,,,,,,52.0,0.6,80.0,80.0,6.0,33.0,0.6040816326530613,0.577560975609756,0.5905236907730673,0.004666666666666667,0.6995305164319249,0.6032388663967612,0.6478260869565218,0.004733333333333333,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.004533333333333334,"  Rule 1: Account_Age_Days < 191.0000  AND  Transaction_Hour <= 9.0000  AND  Session_Duration < 216.8000  AND  Days_Since_Last_Address_Change <= 48.0000
  Rule 2: Credit_Limit_Utilization > 0.4810  AND  Geo_Location_Risk >= 8.1000  AND  IP_Risk_Score >= 28.1000  AND  Failed_Login_Count >= 2.0000
  Rule 3: Credit_Limit_Utilization > 0.1860  AND  IP_Risk_Score >= 28.1000  AND  Failed_Login_Count >= 2.0000  AND  Device_Risk_Score_bin > 7  AND  Account_Age_Days < 191.0000
  Rule 4: Credit_Limit_Utilization > 0.1860  AND  Geo_Location_Risk >= 8.1000  AND  IP_Risk_Score >= 28.1000  AND  Days_Since_Last_Address_Change < 416.0000  AND  Device_Risk_Score_bin > 7
  Rule 5: Session_Duration <= 216.8000  AND  Days_Since_Last_Address_Change <= 416.0000  AND  Email_Domain_Age_Days <= 1783.0000  AND  Transactions_Last_7d > 14.0000  AND  Transaction_Hour <= 16.0000  AND  Transactions_Last_24h >= 6.0000
  Rule 6: Failed_Login_Count >= 0.0000  AND  Session_Duration <= 199.9000  AND  Time_Since_Last_Transaction < 4.2490  AND  Credit_Limit_Utilization >= 0.2650  AND  IP_Risk_Score <= 10.1000  AND  Account_Age_Days >= 1425.0000  AND  Transactions_Last_7d < 7.0000  AND  Device_Risk_Score_bin = 8  AND  Geo_Location_Risk > 9.8000"
NSGA-II,pop52_cx0.7,,,,,,52.0,0.7,80.0,80.0,6.0,37.0,0.5440366972477064,0.5785365853658536,0.5607565011820331,0.005190476190476191,0.6168582375478927,0.6518218623481782,0.6338582677165354,0.0058,0.6137339055793991,0.6271929824561403,0.6203904555314533,0.005177777777777778,"  Rule 1: Account_Age_Days < 898.0000  AND  Email_Domain_Age_Days < 144.0000  AND  Transactions_Last_24h > 3.0000  AND  Device_Risk_Score_bin <= 6  AND  Transactions_Last_7d >= 7.0000  AND  Failed_Login_Count >= 0.0000  AND  Geo_Location_Risk >= 12.9000  AND  IP_Risk_Score >= 5.7000  AND  Credit_Limit_Utilization > 0.3370  AND  Days_Since_Last_Address_Change <= 680.0000
  Rule 2: Device_Risk_Score_bin > 0  AND  Failed_Login_Count > 0.0000  AND  Credit_Limit_Utilization >= 0.2650  AND  Account_Age_Days <= 1002.0000  AND  Session_Duration <= 115.8000  AND  Transactions_Last_24h > 4.0000
  Rule 3: IP_Risk_Score > 12.7000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 9.0000  AND  Session_Duration < 234.9000  AND  Failed_Login_Count > 1.0000
  Rule 4: Days_Since_Last_Address_Change <= 501.0000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 9.0000  AND  Account_Age_Days <= 191.0000  AND  Failed_Login_Count > 0.0000
  Rule 5: IP_Risk_Score > 12.7000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 13.0000  AND  Account_Age_Days <= 191.0000
  Rule 6: Device_Risk_Score_bin > 0  AND  Failed_Login_Count > 0.0000  AND  Credit_Limit_Utilization >= 0.2650  AND  Account_Age_Days <= 1002.0000  AND  Session_Duration <= 115.8000  AND  Transactions_Last_24h > 4.0000  AND  IP_Risk_Score < 12.7000"
NSGA-II,pop52_cx0.8,,,,,,52.0,0.8,80.0,80.0,4.0,22.0,0.7445887445887446,0.5034146341463415,0.6006984866123399,0.0033,0.7763975155279503,0.5060728744939271,0.6127450980392157,0.003577777777777778,0.7529411764705882,0.5614035087719298,0.6432160804020101,0.003777777777777778,"  Rule 1: Geo_Location_Risk > 22.0000  AND  Email_Domain_Age_Days <= 1637.0000  AND  IP_Risk_Score >= 28.1000  AND  Account_Age_Days <= 191.0000
  Rule 2: Session_Duration <= 150.6000  AND  Credit_Limit_Utilization >= 0.5900  AND  Transactions_Last_24h > 4.0000  AND  IP_Risk_Score > 2.0000  AND  Failed_Login_Count >= 1.0000  AND  Time_Since_Last_Transaction <= 29.9600  AND  Days_Since_Last_Address_Change < 416.0000  AND  Account_Age_Days <= 1249.0000
  Rule 3: IP_Risk_Score > 12.7000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_7d >= 10.0000  AND  Geo_Location_Risk >= 42.1000  AND  Failed_Login_Count > 0.0000
  Rule 4: IP_Risk_Score > 12.7000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Transactions_Last_24h > 1.0000  AND  Failed_Login_Count > 0.0000  AND  Session_Duration < 60.0000"
